W0621 18:05:35.616000 17871 torch/distributed/run.py:791] 
W0621 18:05:35.616000 17871 torch/distributed/run.py:791] *****************************************
W0621 18:05:35.616000 17871 torch/distributed/run.py:791] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0621 18:05:35.616000 17871 torch/distributed/run.py:791] *****************************************
Total desired batch size: 524,288
=> calculated gradient accumulation steps: 1
found 99 shards for split train
found 1 shards for split val
Total parameters: 124,475,904
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
using fused AdamW: True
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
using fused AdamW: True
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
num of decayed parameter tensors: 74, with 124354560 total parameters
num of non-decayed parameter tensors: 122, with 121344 total parameters
using fused AdamW: True
wandb: Currently logged in as: arinjay-singh (arinjay-singh-northeastern-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.20.1
wandb: Run data is saved locally in /home/ubuntu/llm/wandb/run-20250621_180551-k1h7rjd0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run restful-haze-3
wandb: ⭐️ View project at https://wandb.ai/arinjay-singh-northeastern-university/gpt2-pretraining
wandb: 🚀 View run at https://wandb.ai/arinjay-singh-northeastern-university/gpt2-pretraining/runs/k1h7rjd0
Wandb logging initialized
Validation loss at step 0: 10.961261749267578
Step 0: loss=10.9660, lr=0.000024, tokens/sec=8613.95, grad_norm=2.8407, duration=60.87s
Step 1: loss=10.6926, lr=0.000024, tokens/sec=1407576.67, grad_norm=2.6768, duration=0.37s
Step 2: loss=10.4523, lr=0.000024, tokens/sec=1410489.24, grad_norm=2.6229, duration=0.37s
Step 3: loss=10.2479, lr=0.000024, tokens/sec=1412345.44, grad_norm=2.5387, duration=0.37s
Step 4: loss=10.0980, lr=0.000024, tokens/sec=1412267.43, grad_norm=2.4194, duration=0.37s
Step 5: loss=9.9744, lr=0.000024, tokens/sec=1409692.64, grad_norm=2.3614, duration=0.37s
Step 6: loss=9.8908, lr=0.000024, tokens/sec=1410843.98, grad_norm=2.2938, duration=0.37s
Step 7: loss=9.8195, lr=0.000024, tokens/sec=1411816.80, grad_norm=2.2162, duration=0.37s
Step 8: loss=9.7484, lr=0.000024, tokens/sec=1408355.55, grad_norm=2.2043, duration=0.37s
Step 9: loss=9.7104, lr=0.000024, tokens/sec=1409725.18, grad_norm=2.1462, duration=0.37s
Step 10: loss=9.6577, lr=0.000024, tokens/sec=1410993.35, grad_norm=2.1241, duration=0.37s
Step 11: loss=9.6363, lr=0.000024, tokens/sec=1410520.00, grad_norm=2.0712, duration=0.37s
Step 12: loss=9.6097, lr=0.000024, tokens/sec=1406472.04, grad_norm=2.0430, duration=0.37s
Step 13: loss=9.5867, lr=0.000024, tokens/sec=1407866.85, grad_norm=2.0209, duration=0.37s
Step 14: loss=9.5313, lr=0.000024, tokens/sec=1406864.36, grad_norm=2.0642, duration=0.37s
Step 15: loss=9.5144, lr=0.000024, tokens/sec=1410950.80, grad_norm=2.0520, duration=0.37s
Step 16: loss=9.5029, lr=0.000024, tokens/sec=1409166.89, grad_norm=2.0269, duration=0.37s
Step 17: loss=9.4763, lr=0.000025, tokens/sec=1410476.58, grad_norm=2.0256, duration=0.37s
Step 18: loss=9.5250, lr=0.000025, tokens/sec=1410422.30, grad_norm=1.9396, duration=0.37s
Step 19: loss=9.5190, lr=0.000025, tokens/sec=1408012.88, grad_norm=1.9597, duration=0.37s
Step 20: loss=9.4130, lr=0.000025, tokens/sec=1406248.09, grad_norm=2.0139, duration=0.37s
Step 21: loss=9.3783, lr=0.000025, tokens/sec=1409594.15, grad_norm=2.0436, duration=0.37s
Step 22: loss=9.3627, lr=0.000025, tokens/sec=1407029.99, grad_norm=2.0172, duration=0.37s
Step 23: loss=9.3560, lr=0.000025, tokens/sec=1410655.73, grad_norm=1.9927, duration=0.37s
Step 24: loss=9.2984, lr=0.000025, tokens/sec=1409416.17, grad_norm=2.0233, duration=0.37s
Step 25: loss=9.2734, lr=0.000025, tokens/sec=1404093.12, grad_norm=2.0040, duration=0.37s
Step 26: loss=9.2631, lr=0.000025, tokens/sec=1406597.99, grad_norm=1.9712, duration=0.37s
Step 27: loss=9.2233, lr=0.000025, tokens/sec=1407828.09, grad_norm=1.9751, duration=0.37s
Step 28: loss=9.2032, lr=0.000025, tokens/sec=1408957.42, grad_norm=1.9524, duration=0.37s
Step 29: loss=9.1640, lr=0.000025, tokens/sec=1398548.59, grad_norm=1.9528, duration=0.37s
Step 30: loss=9.2052, lr=0.000026, tokens/sec=1404129.88, grad_norm=1.8559, duration=0.37s
Step 31: loss=9.1415, lr=0.000026, tokens/sec=1407690.21, grad_norm=1.8921, duration=0.37s
Step 32: loss=9.1312, lr=0.000026, tokens/sec=1406504.43, grad_norm=1.8629, duration=0.37s
Step 33: loss=9.1048, lr=0.000026, tokens/sec=1407454.15, grad_norm=1.8865, duration=0.37s
Step 34: loss=9.0190, lr=0.000026, tokens/sec=1405379.02, grad_norm=1.9424, duration=0.37s
Step 35: loss=9.0408, lr=0.000026, tokens/sec=1403985.55, grad_norm=1.8467, duration=0.37s
Step 36: loss=9.0387, lr=0.000026, tokens/sec=1406416.27, grad_norm=1.8217, duration=0.37s
Step 37: loss=8.9801, lr=0.000026, tokens/sec=1408011.08, grad_norm=1.8414, duration=0.37s
Step 38: loss=8.9685, lr=0.000026, tokens/sec=1406051.17, grad_norm=1.8567, duration=0.37s
Step 39: loss=8.9639, lr=0.000027, tokens/sec=1397587.74, grad_norm=1.8100, duration=0.38s
Step 40: loss=8.9446, lr=0.000027, tokens/sec=1405912.73, grad_norm=1.7808, duration=0.37s
Step 41: loss=8.8821, lr=0.000027, tokens/sec=1402906.23, grad_norm=1.8420, duration=0.37s
Step 42: loss=8.8614, lr=0.000027, tokens/sec=1405231.74, grad_norm=1.8119, duration=0.37s
Step 43: loss=8.8578, lr=0.000027, tokens/sec=1403633.36, grad_norm=1.7878, duration=0.37s
Step 44: loss=8.8417, lr=0.000027, tokens/sec=1407072.31, grad_norm=1.7347, duration=0.37s
Step 45: loss=8.8375, lr=0.000027, tokens/sec=1401397.08, grad_norm=1.7016, duration=0.37s
Step 46: loss=8.7955, lr=0.000027, tokens/sec=1401228.31, grad_norm=1.7154, duration=0.37s
